Name,Position,Price,xMins,GW1,GW2,GW3,GW4,GW5,Total,Points/£M,Elite%
Yarmoliuk,MID,5.0,66,2.6,2.6,2.6,2.2,2.2,12.2,0.49,0.1%
Gnonto,MID,5.5,55,2.7,2.1,2.4,2.4,2.5,12.1,0.44,0.5%
Wissa,FWD,7.5,32,1.7,1.9,2.7,2.8,2.9,12.0,0.32,6.1%
Henry,DEF,4.5,76,2.6,2.5,2.8,2.0,2.2,12.0,0.53,0.2%
Reinildo,DEF,4.0,85,2.8,2.7,2.4,2.0,2.1,12.0,0.60,7.7%
Hartman,DEF,4.0,76,2.3,3.5,2.0,1.7,2.5,11.9,0.60,0.4%
Talbi,MID,5.0,62,2.8,2.5,2.4,2.0,2.3,11.9,0.48,0.2%
P.M.Sarr,MID,5.0,61,3.0,2.0,2.6,2.2,2.0,11.9,0.48,2.2%
Sessegnon,MID,5.5,81,2.5,3.1,2.4,2.0,1.9,11.9,0.43,0.1%
Berge,MID,5.0,71,2.4,2.5,2.2,2.5,2.3,11.9,0.47,0.1%
Beto,FWD,5.5,45,2.6,2.5,2.3,2.5,2.0,11.8,0.43,11.5%
Alcaraz,MID,5.5,50,2.5,2.6,2.3,2.3,2.1,11.8,0.43,0.2%
Tosin,DEF,4.5,71,3.2,2.5,2.7,1.7,1.7,11.8,0.52,0.7%
Smith Rowe,MID,6.0,55,2.4,2.6,2.1,2.4,2.3,11.7,0.39,1.1%
Havertz,FWD,7.5,37,2.1,2.8,2.1,2.5,2.2,11.6,0.31,1.3%
Chalobah,DEF,5.0,65,2.9,2.4,2.6,1.9,1.8,11.6,0.46,0.9%
N.Jackson,FWD,6.5,0,0.0,3.0,3.2,2.7,2.7,11.6,0.36,0.1%
Ugochukwu,MID,5.0,77,1.9,2.8,2.3,2.2,2.4,11.6,0.46,0.0%
Martinelli,MID,7.0,51,2.8,3.0,1.7,2.1,1.9,11.4,0.33,1.5%
Ekdal,DEF,4.0,84,2.8,3.5,2.0,1.4,1.6,11.2,0.56,0.2%
Andreas,MID,5.5,39,1.8,2.3,1.9,2.6,2.5,11.2,0.41,0.4%
McNeil,MID,6.0,50,2.4,2.5,2.1,2.3,1.9,11.2,0.37,0.6%
Hoever,DEF,4.0,58,1.8,2.2,2.7,1.8,2.7,11.2,0.56,2.7%
Digne,DEF,4.5,49,2.2,2.0,2.3,2.0,2.6,11.0,0.49,1.8%
Johnson,MID,7.0,38,2.5,1.9,2.3,1.9,2.3,10.9,0.31,4.0%
Mayenda,FWD,5.5,60,2.8,2.4,2.1,1.7,1.8,10.9,0.39,0.4%
Doherty,DEF,4.5,63,1.8,2.0,2.8,1.7,2.5,10.8,0.48,0.2%
