Name,Position,Price,xMins,GW16,GW17,GW18,GW19,Total,/£M,Elite%
David Carmo,DEF,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
O.Richards,DEF,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Boly,DEF,3.8,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Jota,MID,5.4,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
O'Brien,MID,5.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Yates,MID,4.7,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Da Silva Moreira,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Stamenic,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Awoniyi,FWD,5.2,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Moore,GK,3.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Nna Noukeu,GK,3.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Huggins,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Johnson,DEF,3.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Seelt,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Diarra,MID,5.3,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Roberts,MID,5.4,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Aleksić,MID,4.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Browne,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Ekwah,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
H.Jones,MID,4.3,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Triantis,MID,4.4,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Luís Hemir,FWD,4.4,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Rusyn,FWD,4.4,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Austin,GK,3.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Udogie,DEF,4.4,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Phillips,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Takai,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Vuskovic,DEF,3.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Son,MID,8.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Maddison,MID,6.8,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Bissouma,MID,5.2,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Solomon,MID,5.4,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Bryan,MID,4.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Moore,MID,5.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Min-hyeok,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Solanke,FWD,7.2,0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Lankshear,FWD,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Foderingham,GK,4.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Hegyi,GK,3.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Emerson,DEF,4.4,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
N.Aguerd,DEF,4.4,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Casey,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Álvarez,MID,4.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Cornet,MID,4.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Earthy,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Orford,MID,4.4,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Bentley,GK,4.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
King,GK,3.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
R.Gomes,DEF,4.4,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Meupiyou,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Pedro Lima,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Bellegarde,MID,5.2,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Guedes,MID,5.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Munetsi,MID,5.4,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
B.Traore,MID,5.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Hodge,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Fábio Silva,FWD,4.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Kalajdžić,FWD,4.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Mosquera,DEF,5.4,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Gunn,GK,4.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Rees-Dottin,MID,4.4,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Wright,GK,3.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Seung soo,MID,4.4,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Leoni,DEF,4.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Dowman,MID,4.3,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Rowe,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Burrowes,MID,4.4,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Proctor,GK,3.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Onyango,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Patterson,DEF,3.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Harriman-Annous,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Milosavljević,DEF,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Cuiabano,DEF,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Fabianski,GK,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Mfuni,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Gray,FWD,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
McAidoo,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Emenalo,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Oriola,MID,4.5,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Axel Disasi,DEF,99.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Raheem Sterling,FWD,99.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Sam Chambers,MID,99.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
John Ruddy,GK,99.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Max Thompson,GK,99.9,0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
