Name,xMins,GW1,GW2,GW3,GW4,GW5,Total,xMins/£M,Elite%
Fitzgerald,0,0,0,0,0,0,0,0.0,0.0%
J.Fletcher,0,0,0,0,0,0,0,0.0,0.0%
Moorhouse,0,0,0,0,0,0,0,0.0,0.0%
Wheatley,0,0,0,0,0,0,0,0.0,0.2%
Gillespie,0,0,0,0,0,0,0,0.0,0.1%
Lascelles,0,0,0,0,0,0,0,0.0,0.1%
A.Murphy,0,0,0,0,0,0,0,0.0,0.8%
Ashby,0,0,0,0,0,0,0,0.0,0.2%
Pivas,0,0,0,0,0,0,0,0.0,0.2%
Antoñito C.,0,0,0,0,0,0,0,0.0,0.1%
White,0,0,0,0,0,0,0,0.0,0.1%
Neave,0,0,0,0,0,0,0,0.0,0.3%
Turner,0,0,0,0,0,0,0,0.0,1.3%
David Carmo,0,0,0,0,0,0,0,0.0,0.1%
Dominguez,0,0,0,0,0,0,0,0.0,0.0%
O'Brien,0,0,0,0,0,0,0,0.0,0.0%
Moore,0,0,0,0,0,0,0,0.0,0.6%
Nna Noukeu,0,0,0,0,0,0,0,0.0,0.2%
Cirkin,0,0,0,0,0,0,0,0.0,0.2%
Johnson,0,0,0,0,0,0,0,0.0,0.3%
H.Jones,0,0,0,0,0,0,0,0.0,0.1%
Matete,0,0,0,0,0,0,0,0.0,0.3%
Abdullahi,0,0,0,0,0,0,0,0.0,1.1%
Luís Hemir,0,0,0,0,0,0,0,0.0,0.3%
Rusyn,0,0,0,0,0,0,0,0.0,0.3%
Austin,0,0,0,0,0,0,0,0.0,0.3%
Dragusin,0,0,0,0,0,0,0,0.0,0.0%
Phillips,0,0,0,0,0,0,0,0.0,0.2%
Takai,0,0,0,0,0,0,0,0.0,0.4%
Vuskovic,0,0,0,0,0,0,0,0.0,2.1%
Son,0,0,0,0,0,0,0,0.0,2.0%
Maddison,0,0,0,0,0,0,0,0.0,2.5%
Kulusevski,0,0,0,0,0,0,0,0.0,0.0%
Min-hyeok,0,0,0,0,0,0,0,0.0,0.2%
Olusesi,0,0,0,0,0,0,0,0.0,0.2%
Lankshear,0,0,0,0,0,0,0,0.0,0.4%
Hegyi,0,0,0,0,0,0,0,0.0,0.4%
Earthy,0,0,0,0,0,0,0,0.0,0.2%
Orford,0,0,0,0,0,0,0,0.0,0.2%
Bentley,0,0,0,0,0,0,0,0.0,1.2%
King,0,0,0,0,0,0,0,0.0,2.7%
Meupiyou,0,0,0,0,0,0,0,0.0,0.1%
B.Traore,0,0,0,0,0,0,0,0.0,0.0%
Chirewa,0,0,0,0,0,0,0,0.0,0.3%
Gonzalez,0,0,0,0,0,0,0,0.0,1.4%
Hodge,0,0,0,0,0,0,0,0.0,0.3%
Chiwome,0,0,0,0,0,0,0,0.0,0.1%
Fraser,0,0,0,0,0,0,0,0.0,2.6%
Josh Wilson-Esbrand,0,0,0,0,0,0,0,0.0,0.0%
Issa Kaboré,0,0,0,0,0,0,0,0.0,0.0%
Alfie Gilchrist,0,0,0,0,0,0,0,0.0,0.0%
Alfie Devine,0,0,0,0,0,0,0,0.0,0.0%
Emmanuel Dennis,0,0,0,0,0,0,0,0.0,0.0%
Hindolo Mustapha,0,0,0,0,0,0,0,0.0,0.0%
Callum Doyle,0,0,0,0,0,0,0,0.0,0.0%
