Name,Position,Price,xMins,GW1,GW2,GW3,GW4,GW5,Total,/£M,Elite%
Hladký,GK,4.0,33,1.0,0.0,0.1,0.1,0.0,1.2,0.06,0.3%
Soler,DEF,4.0,1,0.0,0.2,0.2,0.3,0.3,1.1,0.06,0.3%
Nkunku,MID,6.0,0,0.0,0.0,0.2,0.5,0.5,1.1,0.04,0.2%
O.Richards,DEF,4.5,2,0.1,0.2,0.3,0.2,0.3,1.1,0.05,0.1%
Leif Davis,DEF,99.9,0,0.0,0.0,0.0,0.3,0.7,1.0,0.00,0.0%
Zinchenko,DEF,5.0,2,0.1,0.2,0.2,0.3,0.2,1.0,0.04,0.3%
Pedro Lima,DEF,4.0,3,0.1,0.2,0.2,0.2,0.3,1.0,0.05,1.3%
David Datro Fofana,FWD,99.9,4,0.4,0.1,0.1,0.2,0.2,1.0,0.00,0.0%
Mateus Mané,FWD,99.9,1,0.1,0.1,0.2,0.2,0.3,1.0,0.00,0.0%
Antoñito C.,MID,5.0,2,0.2,0.2,0.3,0.1,0.1,1.0,0.04,0.0%
Mepham,DEF,4.0,13,0.3,0.1,0.1,0.2,0.2,1.0,0.05,0.2%
Alex Moreno,DEF,4.0,2,0.1,0.2,0.2,0.2,0.2,1.0,0.05,10.6%
Martinez,DEF,5.0,0,0.0,0.0,0.0,0.1,0.8,1.0,0.04,0.4%
Sonne,DEF,4.0,3,0.1,0.3,0.2,0.2,0.2,0.9,0.05,0.2%
Schmidt,DEF,4.0,8,0.3,0.1,0.1,0.2,0.2,0.9,0.05,0.2%
Ekwah,MID,4.5,4,0.2,0.2,0.2,0.1,0.2,0.9,0.04,0.1%
Ahamada,MID,4.5,2,0.1,0.2,0.2,0.2,0.2,0.9,0.04,0.0%
Pembele,DEF,4.0,3,0.1,0.2,0.2,0.2,0.2,0.8,0.04,0.3%
Solomon,MID,5.5,0,0.0,0.0,0.2,0.3,0.4,0.8,0.03,0.0%
Irving,MID,4.5,0,0.0,0.1,0.2,0.3,0.2,0.8,0.04,0.3%
B.Badiashile,DEF,4.5,0,0.0,0.0,0.0,0.2,0.5,0.8,0.03,0.1%
J.Rak-Sakyi,MID,4.5,0,0.0,0.2,0.2,0.2,0.2,0.8,0.03,0.1%
Acheampong,DEF,4.0,3,0.2,0.2,0.2,0.1,0.1,0.8,0.04,0.3%
Browne,MID,4.5,1,0.1,0.1,0.2,0.1,0.2,0.7,0.03,0.1%
Humphreys,DEF,4.0,0,0.0,0.0,0.0,0.2,0.5,0.7,0.04,0.2%
Nunes,MID,5.0,0,0.0,0.0,0.0,0.3,0.4,0.7,0.03,0.0%
Bamford,FWD,5.0,0,0.0,0.1,0.3,0.2,0.2,0.7,0.03,2.5%
Kuol,MID,4.5,2,0.2,0.2,0.2,0.1,0.0,0.7,0.03,0.1%
Coleman,DEF,4.5,3,0.1,0.0,0.1,0.2,0.2,0.7,0.03,0.2%
Maghoma,MID,4.5,1,0.1,0.2,0.2,0.1,0.1,0.6,0.03,0.1%
Reed,MID,4.5,0,0.0,0.1,0.2,0.1,0.2,0.6,0.03,0.3%
Jörgensen,GK,4.5,2,0.1,0.1,0.1,0.2,0.1,0.6,0.03,0.2%
Krafth,DEF,4.5,1,0.1,0.1,0.2,0.2,0.1,0.6,0.03,0.1%
Steele,GK,4.5,1,0.1,0.1,0.1,0.2,0.1,0.6,0.03,0.5%
