Name,Position,Price,xMins,GW16,GW17,GW18,GW19,Total,/£M,Elite%
Bijol,DEF,3.9,39,1.4,1.6,2.0,1.3,6.4,0.41,0.2%
Bobb,MID,5.2,14,0.8,2.0,1.6,1.9,6.4,0.31,0.0%
Kulusevski,MID,6.4,50,0.1,1.3,2.3,2.6,6.3,0.25,0.0%
Digne,DEF,4.5,31,1.6,2.0,1.5,1.2,6.3,0.35,0.0%
Neil,MID,4.8,8,0.3,2.0,2.0,1.9,6.2,0.32,0.0%
Röhl,MID,5.0,0,0.0,1.1,2.5,2.6,6.2,0.31,0.0%
White,DEF,5.3,49,2.9,1.2,1.1,1.1,6.2,0.29,0.1%
Dominguez,MID,5.0,34,1.5,1.7,1.5,1.4,6.2,0.31,0.0%
Schär,DEF,5.3,46,2.2,1.3,1.1,1.5,6.1,0.29,0.0%
C.Jones,MID,5.4,27,1.4,1.4,1.7,1.7,6.1,0.28,0.0%
Onana,MID,4.8,31,1.3,1.5,1.4,1.6,5.9,0.31,0.0%
S.Magassa,MID,5.0,33,1.3,1.3,1.5,1.9,5.9,0.30,0.0%
Gruev,MID,4.8,42,1.5,1.8,1.3,1.3,5.9,0.30,0.0%
Dibling,MID,5.3,10,0.5,1.7,1.9,1.7,5.8,0.28,0.0%
Lerma,MID,4.9,26,1.1,1.6,1.6,1.5,5.8,0.30,0.0%
Gomez,DEF,4.9,41,1.8,0.9,1.4,1.7,5.7,0.29,0.0%
Douglas Luiz,MID,4.9,0,0.0,1.3,1.8,2.6,5.6,0.29,0.0%
Doherty,DEF,4.4,22,0.6,2.1,1.4,1.6,5.6,0.32,0.0%
Yates,MID,4.7,32,1.0,1.7,1.4,1.4,5.6,0.30,0.0%
Wood,FWD,7.2,0,0.0,1.2,1.8,2.5,5.6,0.19,0.2%
Hoever,DEF,3.9,17,0.5,2.1,1.5,1.4,5.5,0.36,0.0%
Mayenda,FWD,5.3,6,0.5,1.7,1.8,1.5,5.5,0.26,0.0%
L.Miley,MID,4.4,27,1.2,1.3,1.4,1.5,5.5,0.31,0.0%
A.Jimenez,DEF,4.5,31,1.1,1.7,1.5,1.1,5.5,0.31,0.0%
Ugarte,MID,4.7,29,1.2,1.3,1.4,1.6,5.5,0.29,0.0%
Chiesa,MID,6.3,11,0.8,1.3,1.6,1.8,5.4,0.21,0.0%
Cook,MID,4.9,0,0.0,2.1,1.6,1.7,5.4,0.28,0.0%
Lewis-Skelly,DEF,5.1,65,3.9,0.5,0.6,0.5,5.4,0.26,0.0%
Cairney,MID,4.8,14,0.7,1.6,1.5,1.5,5.4,0.28,0.0%
Mainoo,MID,4.6,20,1.0,1.3,1.5,1.5,5.3,0.29,0.0%
J.Cuenca,DEF,4.3,10,0.4,1.6,1.8,1.4,5.2,0.30,0.0%
McNeil,MID,5.5,6,0.4,1.5,1.7,1.5,5.1,0.23,0.0%
Johnson,MID,6.6,26,1.5,1.3,1.1,1.2,5.1,0.19,0.1%
Bakwa,MID,5.9,0,0.0,1.2,1.6,2.3,5.1,0.22,0.0%
Gray,MID,4.8,20,0.7,1.3,1.4,1.5,5.0,0.26,0.0%
Sancho,MID,5.8,27,1.6,0.0,1.7,1.7,5.0,0.21,0.0%
Martinelli,MID,6.8,15,1.2,1.1,1.3,1.4,5.0,0.18,0.0%
O.Dango,MID,6.0,84,4.9,0.0,0.0,0.0,4.9,0.21,0.4%
Mbeumo,MID,8.4,85,4.9,0.0,0.0,0.0,4.9,0.15,13.0%
Spence,DEF,4.4,34,1.3,1.2,1.1,1.3,4.8,0.27,0.0%
J.Ramsey,MID,5.3,17,1.0,1.2,1.3,1.4,4.8,0.22,0.0%
Hughes,MID,4.7,17,0.7,1.3,1.3,1.4,4.7,0.25,0.0%
Gittens,MID,6.1,20,1.3,0.9,0.9,1.5,4.6,0.19,0.0%
Adama,MID,5.1,11,0.7,1.4,1.4,1.1,4.6,0.23,0.0%
Sonne,DEF,3.9,81,3.0,0.3,0.6,0.6,4.5,0.29,0.0%
Janelt,MID,4.9,17,0.8,1.0,1.2,1.4,4.5,0.23,0.0%
Maguire,DEF,4.4,26,0.9,0.9,1.1,1.5,4.5,0.25,0.0%
S.Bueno,DEF,4.4,15,0.4,1.6,1.1,1.4,4.4,0.25,0.0%
Veltman,DEF,4.3,27,0.9,1.5,0.9,1.1,4.3,0.25,0.0%
Andrey Santos,MID,4.5,46,2.2,0.7,0.7,0.8,4.3,0.24,0.1%
