Name,xMins,GW1,GW2,GW3,GW4,GW5,Total,Points/£M,Elite%
Awoniyi,13,0.8,0.7,0.9,0.8,1.1,4.3,0.16,0.8%
Gomez,13,0.7,0.6,0.8,1.0,1.1,4.2,0.17,0.1%
Ekdal,20,0.6,1.0,0.7,0.7,1.0,4.1,0.20,0.3%
Chalobah,15,0.7,0.6,1.1,0.9,0.7,4.0,0.16,0.6%
Estêvão,15,1.0,0.7,0.8,0.8,0.8,4.0,0.12,0.5%
Lamptey,19,0.9,0.6,0.6,0.9,1.0,4.0,0.18,0.4%
Philip,23,1.0,1.5,0.5,0.4,0.4,4.0,0.16,0.1%
Veltman,20,0.8,0.8,0.9,0.7,0.7,3.9,0.17,0.3%
M.Bizot,93,3.4,0.1,0.1,0.1,0.2,3.9,0.17,0.3%
Scarles,13,0.6,0.7,0.8,0.8,0.9,3.8,0.17,0.1%
Osula,7,0.5,0.6,0.7,1.2,0.7,3.8,0.14,0.2%
Ekwah,20,0.8,0.8,0.9,0.7,0.5,3.7,0.17,0.1%
Esse,8,0.5,0.7,0.7,0.9,0.8,3.7,0.15,0.3%
Hee Chan,5,0.4,0.6,0.7,0.8,1.1,3.6,0.12,0.2%
Khusanov,18,0.8,0.7,0.6,0.9,0.7,3.6,0.13,0.3%
Koleosho,14,0.7,0.8,0.6,0.7,0.8,3.6,0.14,0.1%
N.Gonzalez,12,0.6,0.7,0.8,0.7,0.7,3.5,0.12,0.1%
