Name,xMins,GW1,GW2,GW3,GW4,GW5,Total,xMins/£M,Elite%
Reed,0,0,2,3,3,3,11,0.5,0.3%
Collyer,1,1,2,3,4,3,13,0.6,0.2%
Sarmiento,0,0,1,2,2,3,8,0.3,0.1%
Alese,0,0,0,0,16,9,25,1.3,0.0%
Schmidt,3,3,1,5,5,5,19,0.9,0.3%
O’Reilly,1,1,1,1,1,2,6,0.2,0.2%
Arrizabalaga,1,1,2,4,3,5,15,0.7,1.0%
M.Sarr,3,3,4,6,5,4,22,1.0,0.1%
Holding,1,1,2,7,4,5,19,0.9,0.3%
Gelhardt,0,0,1,2,1,2,6,0.3,0.3%
Jörgensen,2,2,1,3,3,7,16,0.7,0.2%
Buendía,0,0,1,1,1,2,5,0.2,0.1%
Rusyn,0,0,1,1,2,2,6,0.3,0.3%
J.Cuenca,0,0,2,4,4,6,16,0.7,0.1%
Jair Cunha,1,1,3,2,6,6,18,0.8,0.1%
Travers,0,0,3,3,4,5,15,0.7,0.2%
Ortega Moreno,0,0,4,3,3,3,13,0.5,0.5%
Maghoma,1,1,2,1,2,2,8,0.4,0.1%
Steele,1,1,2,4,4,3,14,0.6,0.4%
Trafford,0,0,2,4,3,3,12,0.5,3.4%
B.Badiashile,1,1,3,2,5,3,14,0.6,0.1%
D.Essugo,0,0,1,1,1,1,4,0.2,0.1%
Valdimarsson,1,1,1,4,4,2,12,0.6,2.1%
Darlow,1,1,1,4,4,2,12,0.6,7.5%
Mosquera,1,1,2,2,2,5,12,0.4,0.1%
Axel Disasi,0,0,2,3,2,7,14,0.0,0.0%
H.Traorè,0,0,1,1,1,1,4,0.2,0.3%
Bajcetic,0,0,0,0,2,3,5,0.2,0.1%
Lecomte,1,1,1,1,3,4,10,0.5,1.0%
Armando Broja,2,2,1,0,0,1,4,0.0,0.0%
Winterburn,2,2,3,0,0,0,5,0.2,0.1%
David Datro Fofana,1,1,0,0,1,1,3,0.0,0.0%
Kinsky,1,1,0,2,1,4,8,0.4,5.4%
Fábio Vieira,0,0,1,0,1,1,3,0.1,0.1%
Foderingham,0,0,2,3,2,1,8,0.4,1.0%
Nelson,0,0,0,0,2,1,3,0.1,0.2%
C.Miguel,0,0,2,3,2,1,8,0.4,0.3%
N.Aguerd,0,0,1,4,3,3,11,0.5,0.1%
Godo,0,0,0,0,1,1,2,0.1,0.1%
Johnstone,0,0,0,3,2,2,7,0.3,0.2%
Ji-soo,0,0,0,2,2,3,7,0.3,0.2%
Delcroix,0,0,1,2,4,2,9,0.5,0.5%
Édouard,0,0,0,0,1,1,2,0.1,1.1%
Sambi,0,0,0,1,0,1,2,0.1,0.2%
Kuol,0,0,0,1,1,0,2,0.1,0.1%
Redmond,0,0,0,0,1,1,2,0.1,0.9%
R.Williams,0,0,1,2,1,1,5,0.3,0.3%
Abbott,1,1,0,2,1,0,4,0.2,0.3%
Renato Veiga,0,0,0,1,1,2,4,0.0,0.0%
Konak,0,0,1,1,0,0,2,0.1,0.2%
Sonne,0,0,1,0,0,1,2,0.1,0.2%
Anderson,0,0,1,2,1,0,4,0.2,0.6%
Edozie,0,0,0,0,0,1,1,0.0,0.4%
Pond,0,0,0,0,1,2,3,0.1,2.2%
Targett,0,0,0,0,1,1,2,0.1,0.5%
Boly,0,0,0,1,0,1,2,0.1,0.6%
Scarlett,0,0,0,0,1,0,1,0.0,0.9%
Potts,0,0,0,0,1,1,2,0.1,0.7%
Casey,0,0,0,1,1,1,3,0.1,0.8%
Watson,0,0,0,1,0,0,1,0.0,0.1%
Ben Chilwell,0,0,0,0,1,0,1,0.0,0.0%
Aleksić,0,0,1,0,0,0,1,0.0,0.1%
Kone,0,0,0,0,1,0,1,0.0,0.1%
